,added_date,estimated_duration,start_date,end_date,real_duration,returns,software,dev,squad,client,status
0,2016-10-07,20,2017-01-03,2017-01-27,19,0,G,Ana Clara,Kappa,Rezende,Concluído
1,2016-10-11,5,2017-01-05,2017-01-09,3,0,E,Helena,Kappa,Nogueira,Concluído
2,2016-10-11,1,2017-01-06,2017-01-06,1,0,A,Brenda,Epsilon,Costa S/A,Concluído
3,2016-10-14,17,2017-01-02,2017-01-23,16,0,E,Helena,Kappa,Araújo,Concluído
4,2016-10-14,12,2017-01-10,2017-01-20,9,2,D,Emanuelly,Theta,Nogueira,Concluído
5,2016-10-14,14,2017-01-12,2017-01-27,12,0,B,Lara,Epsilon,Pinto da Cruz - EI,Concluído
6,2016-10-14,6,2017-01-06,2017-01-12,5,1,G,Emanuelly,Kappa,Lima Nunes S.A.,Concluído
7,2016-10-17,15,2017-01-12,2017-01-27,12,0,G,Lara,Kappa,Moraes S/A,Concluído
8,2016-10-18,11,2017-01-02,2017-01-10,7,1,D,Valentina,Chi,Lima - ME,Concluído
9,2016-10-21,8,2017-01-05,2017-01-13,7,0,F,Ana Clara,Theta,Nogueira,Concluído
10,2016-10-25,16,2017-01-17,2017-01-30,10,2,C,Agatha,Theta,Alves,Concluído
11,2016-10-27,13,2017-01-19,2017-01-27,7,0,C,Brenda,Theta,da Rosa,Concluído
12,2016-10-28,16,2017-01-20,2017-02-10,16,0,A,Helena,Theta,Moreira - EI,Concluído
13,2016-10-28,3,2017-01-09,2017-01-12,4,1,D,Carolina,Theta,Campos e Filhos,Concluído
14,2016-10-28,16,2017-01-26,2017-02-10,12,0,A,Valentina,Epsilon,Rodrigues,Concluído
15,2016-10-31,9,2017-01-04,2017-01-13,8,2,B,Agatha,Zeta,Mendes Pereira S.A.,Concluído
16,2016-11-02,13,2017-01-04,2017-01-19,12,1,E,Ana Clara,Zeta,Azevedo,Concluído
17,2016-11-02,20,2017-01-20,2017-02-02,10,0,F,Maria Eduarda,Theta,Martins - EI,Concluído
18,2016-11-03,13,2017-01-24,2017-02-03,9,0,B,Agatha,Epsilon,Duarte,Concluído
19,2016-11-03,18,2017-01-10,2017-01-26,13,0,F,Maria Eduarda,Theta,Azevedo Caldeira - ME,Concluído
20,2016-11-04,9,2017-01-02,2017-01-12,9,0,B,Emanuelly,Theta,Cardoso,Concluído
21,2016-11-04,8,2017-01-06,2017-01-18,9,2,F,Valentina,Zeta,Ferreira da Cunha S/A,Concluído
22,2016-11-04,8,2017-01-19,2017-01-25,5,0,D,Mirella,Chi,Aragão,Concluído
23,2016-11-04,6,2017-01-18,2017-01-25,6,0,A,Valentina,Kappa,Freitas,Concluído
24,2016-11-04,18,2017-01-23,2017-02-17,20,1,C,Carolina,Epsilon,Nunes,Concluído
25,2016-11-04,19,2017-01-23,2017-02-17,20,0,G,Emanuelly,Kappa,Correia,Concluído
26,2016-11-07,15,2017-02-03,2017-02-14,8,2,A,Agatha,Theta,Lopes Moura S/A,Concluído
27,2016-11-08,19,2017-01-18,2017-02-13,19,0,D,Valentina,Kappa,Moraes - EI,Concluído
28,2016-11-09,16,2017-02-06,2017-02-15,8,0,D,Helena,Theta,Barbosa,Concluído
29,2016-11-10,15,2017-01-03,2017-01-20,14,0,E,Helena,Theta,Moura,Concluído
30,2016-11-11,18,2017-02-06,2017-02-17,10,0,F,Brenda,Kappa,Carvalho Oliveira - ME,Concluído
31,2016-11-11,2,2017-01-06,2017-01-06,1,3,D,Valentina,Zeta,Aragão Fogaça S/A,Concluído
32,2016-11-11,4,2017-01-13,2017-01-19,5,0,C,Emanuelly,Kappa,Ramos,Concluído
33,2016-11-14,6,2017-01-18,2017-01-26,7,0,F,Mirella,Kappa,Moraes - EI,Concluído
34,2016-11-14,3,2017-01-09,2017-01-11,3,0,G,Maria Eduarda,Epsilon,Ribeiro,Concluído
